# ******* Тестовое задание на Junior Python Developer ********
# 
# 
# В этом файле находятся строки с переводом английских слов на русские в формате
# Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur	астурийский ; астурлеонский
#
# Это значит, что каждое из английских слов (Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur) может переводиться как любое русское (астурийский ; астурлеонский)
#
# Также встречаются простые варианты где в строке 1 английское и русское слово
# Abidjan	Абиджан
# 
# Английские слова отделены от русских переводов символом табуляции
# 
# Надо распарсить этот файл и на базе него сделать 2 файла - English.txt и Russian txt, где каждой строке на английском будет соответствовать строка перевода на русском в другом файле во всех возможных вариантах.
# 
# Пример текста, который должен получиться в файлах, после работы вашего кода:
# 
# English.txt				Russian.txt		
#	
# Astur-Leonese				астурийский
# Astur-Leonese				астурлеонский
# Asturian				    астурийский
# Asturian				    астурлеонский
# Asturian-Leonese			астурийский
# Asturian-Leonese			астурлеонский
# ....						....
#
# Код который вы напишите присылайте на alexeir@lingvanex.com
#
#



9 ; nine	девять ; девять
alicyclic compound	алициклическое соединение
alicyclic hydrocarbon	алициклический углеводород
alignment	упорядочение
aliphatic compound	алифатическое соединение
aliphatic hydrocarbon	алифатический углеводород
alkali soil	щелочная почва
alkaline ; element of group I ; alkaline metal ; alkali metal	химический элемент группы I
alkaline battery	щелочной элемент питания
alkane ; paraffin ; methane series ; alkane series	алкан
alkyl compound	алкильное соединение
all-terrain vehicle	внедорожник
allegory	аллегория
allergen	аллерген
allergy	аллергия
allocation ; allotment ; resource allotment	распределение
allocation plan	планирование распределения материально-сырьевых ресурсов
allotropy	аллотропия
allowance	денежная помощь
alloy	сплав
alluvial plain	аллювиальная равнина
alluvion ; flood ; overflowing ; inundation	наводнение
almanac	альманах
almost	почти
alpha radiation	альфа-излучение
alphabet	алфавит
alternative material	альтернативный материал
alternative technology	альтернативная технология
altitude	высота ; высота (геогр.)
alumina	глинозем
aluminium	алюминий
aluminium container	алюминиевый контейнер
aluminium content	содержание алюминия
aluminium industry	алюминиевая промышленность
amalgam	амальгама
ambassador	посол
ambulance	скорая помощь
americium	америций
amethyst	аметист
amine	амин
amino acid	аминокислота
ammonia	аммиак
ammonification	аммонификация
ammonium	аммоний
amphetamine	амфетамин
amphibian	амфибии
amphitheatre	амфитеатр
amusement park	парк развлечений
anaconda	анаконда
anaerobic process	анаэробный процесс
anaerobic treatment	анаэробная обработка
anagram	анаграмма
analogy	аналогия
analysis	анализ
analysis programme	программа анализа
analytical chemistry	аналитическая химия
analytical equipment	аналитическое оборудование
analytical method	аналитический метод
anarchism	aнархизм
anarchy	анархия
anatomy	анатомия
anchor	якорь
angel	ангел
angiosperm ; flowering plant	покрытосеменные ; цветочное растение
angling ; fishing ; line-fishing	спортивная рыбная ловля
animal	животное
animal behaviour	поведение животных
animal biology	биология животных
animal conservatory	заповедник животных
animal corridor	"коридор" для животных
animal damage	ущерб, наносимый животными
animal disease	болезни животных
animal displacement	перемещение животных
animal ecology	экология животных
animal excrement	экскременты животных
animal experiment	эксперименты над животными
animal foodstuff	корм для животных
animal for slaughter	животные для забоя
animal habitat	природная среда обитания животных
animal heritage	наследие животного мира
animal husbandry	животноводство
animal manure	навоз
animal migration	миграция животных
animal noise	шум, производимый животными
animal nutrition	питание животных
animal physiology	физиология животных
animal population	популяция животных
animal product	животноводческая продукция
animal production	производство животноводческой продукции
animal protection	защита животных
animal reproduction	репродукция животных
animal resource	животные ресурсы
animal rights	права животных
animal shelter	помещения для содержания животных
animal species	животные виды
animal species reintroduction	повторное заселение видов животных
animal trade	торговля животными
animal waste	отходы животноводства
anime	аниме
anion	анион
anise	анис
ankle ; talocrural joint	лодыжка ; щиколотка
annelid	кольчатые черви
anniversary	годовщина
ant	муравей
antagonism	антагонизм
antelope	антилопа
anthropic activity	деятельность человека
anthropologic reserve	антропологический заповедник
anthropologist	антрополог
anthropology	антропология
antibiotic	антибиотик
antibody	антитело
anticipation of danger	ожидание опасности
antifouling agent	антиводорослевый реагент
antimony	сурьма
antiparticle	античастица
antipollution incentive	стимулирование борьбы с загрязнением окружающей среды
antiquated plant	завод с устаревшим оборудованием
antiseismic regulation	антисейсмические нормативы
antonym	антонимы
anvil	наковальня
anytime	всегда
apartheid	апартеид
apartment block	многоквартирный жилой дом
apathy	апатия
aphorism	афоризм
apiculture ; beekeeping	пчеловодство
apoptosis	апоптоз
apostle	апостол
appeal	апелляция
appeal procedure	процедура апелляции
apple	яблоко
apple ; apple tree	яблоня
applied ecology	прикладная экология
applied nutrition	прикладная диететика
applied research	прикладное исследование
applied science	прикладная наука
appraisal	оценка
approach	подход
appropriate technology	приемлемая технология
approval ; approbation	одобрение
approval of installations	разрешение на использование промышленной установки
aquaculture	аквакультура
aquamarine	аквамарин
aquarium	аквариум
aquatic animal	водное животное
aquatic ecology	экология водной среды
aquatic ecosystem	водная экосистема
aquatic environment	водная среда
aquatic mammal	водное млекопитающее
aquatic organism	водный организм
aquatic plant	водное растение
aqueduct	акведук
aquifer	водоносный пласт
arable farming	земледелие
arboretum	ботанический сад
arboriculture	древоводство
archaeological	археологический
archaeological site	археологическая площадка
archaeology ; archeology ; archæology	археология
archbishop	архиепископ
archduke	эрцгерцог
archeologist ; archaeologist	археолог
archer ; archer	лучник
archetype	архетип
archipelago	архипелаг
architect	архитектор
architecture	архитектура
archive	архив
area of potential pollution	ареал потенциального загрязнения
area under stress	районы напряженной экологической обстановки
argon	аргон
arid land	аридные (засушливые) земли
aristocracy	аристократия
arithmetic ; arithmetics	арифметика
armament	вооружение
armament conversion	конверсия вооружений
armed forces	вооруженные силы
armistice	перемирие
armoury	арсенал
armpit	подмышка
aromatic compound	ароматические соединения
aromatic hydrocarbon	ароматический углеводород
aromatic substance	ароматическое вещество
arrange ; adapt ; adjust ; conform ; accommodate ; suit	приспособить
arrangement for a deposit on packaging	депозит за возвратную тару
arrow	стрела
arrowhead	наконечник
arsenic	мышьяк
arson	поджог
arsonist	поджигатель
art	искусство
artery	артерия
artful	хитроумный
arthritis	артрит
arthropod	артроподы
artificial lake	искусственное озеро
artificial reproductive technique	методы искусственного воспроизводства
artificial satellite	искусственный спутник
artist ; creative person	артист
asbestos	асбест
asbestos cement	асбестоцемент
asbestosis	асбестоз
ascendancy	власть
ascent	восхождение
ascent	подъём
ascertain	устанавливать
ascetic	аскет
ash	зола
ashamed	пристыженный
ashore	на берег
ashtray	пепельница
asleep	спящий
asparagus	спаржа
asphalt	асфальт
aspiration	стремление
assay	качественный и количественный анализ
assemble ; get together ; gather	созывать
assent	согласие
assent	соглашаться
assert	утверждать
assert	отстаивать
assertive	настойчивый
assign	назначать
assignment	задача
assimilate	усваивать
assimilation	ассимиляция
assist	ассистировать
association	ассоциация
assorted	сортированный
astatine	астат
asterisk	звёздочка
asteroid	астероид
asthenosphere	астеносфера
asthma	астма
astonish	удивлять
astonishing	удивительный
astonishment	удивление
astound	поражать
astounding	поразительный
astride	верхом
astride	расставив ноги
astrologer	астролог
astrology ; star divination	астрология
astrometry	астрометрия
astronautics	астронавтика
astronomer	астроном
astronomy	астрономия
astrophysics	астрофизика
asymmetric ; asymmetrical	асимметричный
asymptote	асимптота
atheist	атеист
atlas	атлас
atmosphere	атмосфера
atmospheric aerosol	атмосферный аэрозоль
atmospheric chemistry	химия атмосферы
atmospheric circulation	циркуляция атмосферы
atmospheric component	компонент атмосферы
atmospheric composition	состав атмосферы
atmospheric correction	поправки на атмосферу
atmospheric emission	атмосферный выброс
atmospheric fallout	выпадение осадков из атмосферы
atmospheric layering	слои атмосферы
atmospheric monitoring	мониторинг атмосферы
atmospheric ozone	атмосферный озон
atmospheric particulate	атмосферная частица
atmospheric physics	физика атмосферы ; Физика атмосферы
atmospheric pollution	загрязнение атмосферы
atmospheric precipitation ; precipitation	атмосферные осадки
atmospheric process	атмосферный процесс
atmospheric science	наука об атмосфере
atmospheric structure	структура атмосферы
atoll	атолл
atom	атом
atractive	привлекательный
atrazine	атразин
atrocity	зверство
attachment	привязанность
attachment	насадка
attack	атака ; нападение
attain	достигать
attend	ухаживать
attend	посещать
attend	быть внимательным
attend	уделять внимание
attendant	служитель
attentive	внимательный
attic	чердак
attire	наряд
attire	наряжать
attitude	поза
attract	притягивать
attribute	атрибут
audacious	отважный
audio-visual presentation	аудиовизуальное представление
audiovisual equipment	аудиовизуальное оборудование
audiovisual media	аудиовизуальные средства
audit	аудит
augment	увеличивать
auspicious	благоприятный
authorisation	санкционирование
authoritarian	авторитарный
authoritative	авторитетный
authority body	орган власти
authorship	авторство
autocracy	самодержавие
autoecology	автоэкология
automobile industry	автомобильная промышленность
autumn	осень
avalanche	лавина
avalanche protection	защита от схода лавин
avaricious	алчный
avert	предотвращать
avert	отводить
aviary	птичник
aviation law	правила воздушных перевозок
aviculture	птицеводство
avid	жаждущий
avifauna	авифауна
awe	благоговение
awhile	ненадолго
axiom	аксиома
aye ; yeah ; yep ; yes	да
baboon	бабуин
background level	фоновый уровень
background noise	фоновый шум
background radiation	фоновый уровень радиации
bacon	бекон
bacterial bed	бактериальный слой
bactericide	бактерицид
bacteriological pollution	бактериологическое загрязнение
bacteriology	бактериология
bacterium	бактерии
bag ; pocket ; steal	краcть
bagpipes	волынка
baker	пекарь
baking powder	разрыхлитель
balance	баланс
balance of matter	баланс материи
balancing of interests	баланс интересов
ballad	баллада
ballroom	бальный зал
banana	банан
bank	берег
bank protection	защита берегов
banking	банковские операции
barium	барий
barley	ячмень
barometer	барометр
baron	барон
barrier beach	песчаная коса
barrier reef	барьерный риф
base	основа
baseball ; baseball game	бейсбол
baseline monitoring	базовый мониторинг
basic food requirement	потребности в основных продуктах питания
basicity	основность (хим.)
basidiomycete	базидиомицеты
basketball ; basketball game	баскетбол
bassoon	фагот
bastardisation of fauna	вырождение фауны
bastardisation of flora	вырождение флоры
batch process	периодический процесс
bathing freshwater	пресная вода, пригодная для купания
bathing seawater	морская вода, пригодная для купания
bathing water	водоемы для купания
battery	аккумулятор
battery disposal	утилизация использованных аккумуляторов
bay	бухта
beach	пляж
beach cleansing	очистка побережья
bean ; edible bean	боб
bear	медведь
beatification	беатификация
beaver	бобр
bed	кровать ; постель
bee	пчела
bee conservation	охрана пчел
beef cattle	мясной скот
beehive	улей
beekeeper ; apiculturist	пчеловод
beer	пиво
beetle	жук
behaviour	поведение
behaviour of substances	свойства веществ
behaviour pattern	манера поведения
behavioural science	наука о поведении живых организмов
belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus	пупок
beneficial organism	полезный организм
benthic division	слой бентоса
benthos	бентос
benzene	бензин
benzopyrene	бензопирен
berkelium	берклий
beryllium ; glucinium	бериллий
beta radiation	бета-излучение
better	лучше
between	между ; посреди
beverage ; drink	напиток
beverage industry	производство напитков
bibliographic information	библиографическая информация
bibliographic information system	библиографическая информационная система
bibliography	библиография
bicycle ; bike ; cycle	велосипед
big game	крупное животное как объект охоты
bilateral convention	двусторонняя конвенция
bilge oil	трюмная нефть
bilge water	трюмная вода
binary star	двойная звезда
bio-availability	биополезность
bioaccumulation	бионакопление
bioaccumulative pollutant	бионакопительное загрязняющее вещество
biochemical method	биохимический метод
biochemical oxygen demand	биохимическое потребление кислорода
biochemical process	биохимический процесс
biochemical substance	биохимическое вещество
biochemistry	биохимия
biocide	биоцид
bioclimatology	биоклиматология
biocoenosis	биоценоз
bioconcentration factor	биоконцентрирующий фактор
biodegradability	способность к биодеградации
biodegradable pollutant	биодеградирующее загрязняющее вещество
biodegradation	биодеградация
biodiversity	биоразнообразие
bioethics	биоэтика
biofiltration	биофильтрация
biofuel	биотопливо
biogas	биогаз
biogeochemical cycle	биохимический цикл
biogeographical region	биогеографический регион
biogeography	биогеография
biological analysis	биологический анализ
biological attribute	биологические свойства
biological contamination	биологическое заражение
biological cycle	биологический цикл
biological development	биологическое  развитие
biological effect	биологический эффект
biological effect of pollution	биологический результат загрязнения
biological engineering	биоинженерия
biological heritage	биологическое наследие
biological indicator	биологический индикатор
biological monitoring	биологический мониторинг
biological pest control	биологические меры борьбы с вредителями
biological pollutant	биологическое загрязняющее вещество
biological pollution	биологическое загрязнение
biological process	биологический процесс
biological production	биологическое производство
biological reserve ; wildlife reserve	биологический заповедник
biological resource	биологический ресурс
biological test	биологический опыт
biological treatment	биологическая обработка
biological waste gas purification	биологическая очистка отработанного газа
biological waste treatment	биологическая утилизация отходов
biological wastewater treatment	биологическая переработка жидких отходов
biological water balance	биологический баланс воды
biological weapon	биологическое оружие
biology ; biological science	биология
bioluminescence	биолюминесценция
biomarker	биоиндикатор
biomass	биомасса
biomass energy	энергия биомассы
biome	биом
biophysics	биофизика
bioreactor	биореактор
biorhythm	биоритм
biosafety	биобезопасность
biosphere	биосфера
biosphere reserve	биосферный заповедник
biosynthesis	биосинтез
biotechnological hazard	биотехнологическая угроза
biotechnology	биотехнология
biotic factor	биотический фактор
biotic index	биотический индекс
biotope	биотоп
biotope network	система биотопов
biotope order	законодательный акт по вопросам биотопа
biotope protection	защита биотопов
bird	птица
bird of prey	хищная птица
bird sanctuary	заповедник для птиц
bird species	виды птиц
birth control	контроль за рождаемостью
bishop	епископ
bismuth	висмут
bitumen	битум
black	чёрный
black coal ; black coal ; black coal ; anthracite coal	черный уголь
blackbird	дрозд
blacksmith	кузнец
blast furnace	доменная печь
bleaching agent	отбеливающий реагент
bleaching clay	отбеливающая глина
bleaching process	процесс отбеливания
blister	волдырь
blog ; weblog ; web log	блог
blood	кровь
blood plasma	плазма крови
blue	синий ; голубой
blue-green alga ; cyanobacteria	сине-зеленые водоросли
boating	лодочный спорт
bocage	бокаж
bog	трясина
bohrium	борий
boiler	котел
boiling point	точка кипения
bonsai	бонсай
book	книга
bookkeeping	бухгалтерия
border	граница
boron	бор
botanical conservatory	ботанический заповедник
botanical garden	ботанический сад
botany	ботаника
botany ; phytology	ботаника
bottle cap	крышка для бутылки
boundary	предел
boundary crossing	пересечение границы
boundary layer	пограничный слой
bow	лук
boy	мальчик
brackish water	солоноватая вода
branch	ветка ; сук
branch of activity	отрасль хозяйственной или коммерческой деятельности
bread	хлеб
breakfast	завтрак
breast milk	грудное молоко
breeding	разведение растений и животных
breeding bird	птица в период размножения
breeding technique	методы животноводства
brick	кирпич
bridge	мост
bring	принести
broad-leaved tree	широколиственное дерево
broccoli	брокколи
bromine	бром
brooding	высиживание яиц
brook	ручей
brushwood	кустарниковые заросли
bryophyte	бриофиты (мхи и печеночники) ; бриофиты
bubble policy (emissions trading) ; bubble policy	политика зачета уровней выброса
budget	бюджет
budget policy	бюджетная политика
bug ; põrnikas	клоп
building	здание ; постройка
building area	строительные площади
building component	строительный элемент
building destruction	снос зданий
building industry	строительная индустрия
building land	земля под строительство
building material	строительный материал
building materials industry	промышленность стройматериалов
building permit	разрешение на строительство
building planning	планирование строительства
building regulation	нормативный документ в области строительства
building related illness ; sick building syndrome	синдром вредного помещения
building restoration	реконструкция зданий
building service	строительная услуга
building site	строительная площадка
building site preparation	подготовка строительной площадки
building technology	строительная технология
building waste	отходы строительства
built drainage system	система дренажа
built environment	созданная среда
built structure	строение
built-up area	застроенная территория
bulb cultivation	культивация луковиц
bulky waste	крупногабаритные мусор и отходы
bull	бык
bumblebee	шмель
bureaucracy	бюрократия
bureaucratisation	бюрократизация
bus ; coach	автобус
bus station	автобусная остановка
bush clearing	вырубка кустарников
business	бизнес
business activity	вид хозяйственной или коммерческой деятельности
business classification	классификация бизнеса
business economics	экономика предпринимательства
business organisation	организация бизнеса
business policy	политика в области развития бизнеса
butcher	мясник
butter	сливочное масло
butterfly	бабочка ; мотылёк
button ; clit ; clitoris	клитор
button-cell battery	элемент питания
buy ; purchase	покупать
buy ; purchase	закупка
by-catch	сопутствующий улов
by-product	сопутствующий продукт
cable	кабель
cactus	кактус
cadmium	кадмий
caesium	цезий
caffeine	кофеин
calcium	кальций
calcium content	содержание кальция
calculation	калькуляция
calculation method	метод калькуляции
caliber	калибр
calibration	калибровка
californium	калифорний
calligraphy	каллиграфия
camera	фотоаппарат
camouflage	камуфляж
camp ; military camp ; army camp ; campsite	лагерь
camping ; camping ground	кемпинг
camping site	площадка для кемпинга
canal	канал
canal lock	шлюз
cancer	рак
cancer risk	риск онкологического заболевания
candle	свечка ; свеча
canid	псовый
canyon	каньон
capital	столица
car ; automobile	автомобиль
car park	автомобильная стоянка
car tyre	автомобильная шина
carbohydrate	углевод
carbon	углерод
carbon dioxide	диоксид углерода
carbon dioxide tax	налог на выброс диоксид углерода
carbon monoxide	моноксид углерода
carbonate	карбонат
carcass disposal	утилизация трупов животных
carcinogen	канцероген
carcinogenicity	канцерогенность
carcinogenicity test	тест на канцерогенность
cardinal	кардинал
cardiology	кардиология
cardiovascular disease	сердечно-сосудистое заболевание
cardiovascular system	сердечно-сосудистая система
career	карьера
carnivore	плотоядный
carpet	ковëр
carry-over effect	эффект переноса
cartography	картография
case ; lawsuit ; trial	судебное разбирательство
cash crop	товарная сельскохозяйственная культура
castle	за́мок
cat	кот ; кошка
catalysis	катализ
catalyst	катализатор
catalytic converter	каталитический конвертер
catapult	катапульта
catastrophe	катастрофа
catch yield	улов
catchment	дренаж
catchment area	водосбор
category	категория
category of endangered species	исчезающий вид
cation	катион
cattle	скот
cauliflower	conopidă ; цветная капуста
cause-effect relation	причинно-следственная взаимосвязь
cave	пещера
caviar	икра
celery	сельдерей
cell ; cell	клетка ; клетка
cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο	гальвани́ческий элеме́нт ; элемент питания
cellulose	целлюлоза
cellulose industry	целлюлозная промышленность
cement	цемент
cement industry	цементная промышленность
cement manufacture	производство цемента
census survey	перепись населения
central government	правительство федерального уровня
central park area	центральная часть природного парка
centralisation	централизация
centrifugation	центрифугирование
cephalopod	цефалоподы
ceramics	керамика
ceramics industry	производство керамических изделий
cerium	церий
certification	сертификация
cetacean	китовые
chair	стул
chalk	мел
champagne	шампанское
change in value	изменение стоимости
channelling	системы распределения
chaos theory	теория хаоса
characteristic	атрибут ; свойство ; качество ; особенность ; признак
charcoal	древесный уголь
chart	официальный документ
chart ; nautical chart	морская карта
cheers ; thank you ; thanks	благодарность
cheese	сыр
cheetah ; chetah	гепард
chelicerate	клешневидный
chemical	химикат
chemical addition	реакция присоединения
chemical analysis	химический анализ
chemical composition	химический состав
chemical contamination	химическое заражение
chemical corrosivity	подверженность химической коррозии
chemical decontamination	химическая дезактивация
chemical element ; element	химический элемент ; элемент
chemical fallout	химические осадки
chemical fertiliser	химическое удобрение
chemical in the environment	химические вещества в окружающей среде
chemical industry	химическая промышленность
chemical installation	здание для химического производства
chemical measurement of pollution	химическое измерение уровня загрязнения
chemical oxygen demand	химическое потребление кислорода
chemical pest control	борьба с вредителями химическими методами
chemical plant	химический завод
chemical policy	политика в области химии
chemical pollutant	химическое загрязняющее вещество
chemical pollution	химическое загрязнение
chemical process	химический процесс
chemical product	химический продукт
chemical property	химические свойства
chemical reaction	химическая реакция
chemical reduction	химическое восстановление
chemical risk	риск от химического воздействия
chemical structure	химическая структура
chemical treatment	химическая обработка
chemical waste	химические отходы
chemical weapon	химическое оружие
chemicals act	закон в области использования химикатов
chemisorption	хемосорбция
chemist ; pharmacist	аптекарь
chemist's ; chemist's shop ; pharmacy	аптека
chemistry	химия
chess	șah ; шахматы
chestnut	каштан
chicken	курица ; курица ; куры ; куры ; петух ; петух
child	ребенок
chimney	труба
chimney height	высота трубы
chimpanzee	шимпанзе
chipmunk	азиатский ; сибирский бурундук
chiropteran	рукокрылые
chloride	хлорид
chlorinated hydrocarbon	хлорированный углеводород
chlorination	хлорирование
chlorine	хлор
chlorophenol	хлорофенол
chlorophyll	хлорофилл
chlorosis	хлороз
chocolate	шШоколад ; шоколад
cholesterol	холестеринc
chordate	хордовые
chorology	хорология
chromatographic analysis	хроматографический анализ
chromatography	хроматография
chromium	хром
chromosome	хромосома
chrysophyta	хризофита
church	церковь
cigar	сигара
cigarette	сигарета ; папироса
cinematographic film	кинофильм
circular mail	циркулярное письмо
citizen	гражданин
citizen awareness	осведомленность граждан
citizen initiative	гражданская инициатива
citizen rights	гражданские права
city	город
city centre	городской центр
civil air traffic	движение гражданского  воздушного транспорта
civil engineering	гражданское строительство
civil law	гражданское право
civil safety	гражданская оборона
civilian protection	гражданская оборона
claim for restitution	право подать иск на реституцию
clarinet	кларнет
classification	классификация
clay	глина
clean air area	район чистого воздуха
clean air car	"чистый" автомобиль ; чистый автомобиль
clean technology	чистая технология
cleaning up	расчистка
cleanliness	чистота
cleansing department	отдел очистки
clearing sludge	осадочный ил
cliff	скала
climate	климат
climate protection	защита климата
climate resource	климатический ресурс
climate type	тип климата
climatic alteration	локальное климатическое изменение
climatic change ; climate change	изменение климата
climatic effect	влияние климата
climatic experiment	климатический эксперимент
climatic zone	климатическая зона
climatology	климатология
climax	кульминация
climbing plant (wall) ; climbing plant	вьющееся растение
clinical symptom	клинический симптом
cloning	клонирование
closing down	закрытие
closing down of firm	закрытие фирмы
clothing ; apparel	одежда
clothing industry	производство одежды
cloud	облако
co-incineration	одновременное сжигание отходов
co-operation	сотрудничество
co-operation policy	политика сотрудничества
co-operation principle	принцип сотрудничества
co-ordinate system	система координат
co-ordination	координация
coagulation	коагуляция
coal	уголь
coal industry	угольная промышленность
coal liquefaction	ожижение угля
coal mining	добыча угля
coal refining	обогащение угля
coal technology	гидрогенизация угля
coal-based energy	производство энергии на основе угля
coal-fired power plant	теплоэлектростанция, работающая на угле
coast	берег
coast protection	охрана прибрежных районов
coastal area	береговая зона
coastal development	освоение морских прибрежных районов
coastal ecosystem	прибрежная экосистема
coastal environment	прибрежная среда
coastal fishing	прибрежное рыболовство
coastal pollution	загрязнение побережий
coastal water	прибрежные воды
coastal zone planning	планирование прибрежных зон
coastguard	спасательная служба на воде
coating	покрытие
cobalt	кобальт
cocaine	кокаин
cockroach	таракан
code	кодекс
code of practice	обычаи и практика
codification	кодификация
coelenterate	кишечнополостные
coffee	кофе
cogeneration	одновременная генерация тепла и электричества
coin ; money	монета
coke	кокс
cold	холод
coliform bacterium	колибактерии
colina ; hill ; loma	холм
collective wastewater treatment	очистка объединенных стоков
colloid	коллоид
colloidal state	коллоидное состояние
colonisation	колонизация
colony	колония
colour ; colour ; colo(u)r	цвет ; цвет ; цвет
colour composition	комбинированное цветное изображение
colourimetry	колориметрия
colubrid	змеи
combination effect	комбинированный эффект (биол.)
combined cycle-power station	тепловая электростанция на различных видах топлива
combined sewer system	комбинированная сточная система
combined transport	комбинированные перевозки
combined waste water	смешанные сточные воды
combustibility	способность к горению
combustion engine	двигатель внутреннего сгорания
combustion gas	выхлопной газ
combustion residue	продукты нагара
come	прийти ; приходить
comet	комета
commercial fishery	промышленная рыбная ловля
commercial law	коммерческое право
commercial noise	шум от производственной деятельности
commercial traffic	движение грузового транспорта
commercial transaction	коммерческая сделка
commercial vehicle	грузовое транспортное средство
commercialisation	коммерциализация
common agreement	общее соглашение
common agricultural policy ; common agricultural policy of the EU	"Единая сельскохозяйственная политика" ; Единая сельскохозяйственная политика
common commercial policy	единая политика в области коммерческой деятельности
common tariff policy	единая тарифная политика
communications	связь
communications industry	индустрия связи
communications policy	политика в области средств связи
communications system	система связи
communism	коммунизм
community facility ; public facility	общественное сооружение
community-pays principle	принцип "сообщество платит"
commuter traffic	пригородный транспорт
compaction	прессовка
company policy	политика компании
company structure	структура компании
comparative law	сравнительное право
comparative test	сравнительный тест
comparison	сравнение
compensation	компенсация
compensation for damage	компенсация ущерба
compensatory measure	компенсационная мера
compensatory tax	компенсационный налог
competition	биологическая конкуренция
competition law	закон о конкуренции
competitive examination	конкурсный отбор
competitiveness	конкурентоспособность
complex formation	формирование сложного соединения (хим.)
complexing agent	соединяющий реагент
composite pollution	смешанное загрязнение
composition of population	состав населения
compost	компост
compostable waste	компостные отходы
composting	компостирование
composting by producer	компостирование производителем
compound ; chemical compound	соединение ; xимическое соединение
compression	компрессия
compressor	компрессор
computer	компьютер
concentration	концентрация
concept of environment	экологическая концепция
concession	концессия
concrete	бетон
concrete products industry	производство изделий из бетона
condensation (process) ; condensation	конденсация (процесс) ; конденсация
conductivity ; electrical conductivity	проводимость
conflict	конфликт
conflict of aims	конфликт целей
conflict of interests	конфликт интересов
conflicting use	конфликт по вопросу права на использование
congress	конгресс
conifer	хвойные
coniferous forest	хвойный лес
coniferous tree	хвойное дерево
conservation	сохранение
conservation of monuments	сохранение памятников
conservation policy	политика сохранения природных ресурсов
constellation	созвездие
constitution	конституция
constitutional law	конституционное право
constructed language ; artificial language	искусственный язык
construction equipment	строительное оборудование
construction noise	строительный шум
construction policy	политика в области строительства
construction technology	строительная технология
construction with recycled material	строительство из вторичных материалов
construction work	строительная работа
consultancy	консультативная практика
consultation	консультация
consumer behaviour	поведение потребителя
consumer goods	потребительские товары
consumer group	группа потребителей
consumer information	информация для потребителя
consumer product	потребительский продукт
consumer protection	защита потребителя
consumer waste	бытовые отходы
consumption	потребление
consumption pattern	структура потребления
container	контейнер
containment (nuclear industry) ; containment	сдерживание (ядерная энергетика) ; сдерживание
contaminated soil	загрязненная почва
contamination	загрязнение
continent	континент
continental climate	континентальный климат
continental shelf	континентальный шельф
continuing education	непрерывное образование
continuous load	постоянное загрязнение
contour farming	сельскохозяйственные работы, осуществляемые по контуру
contract	контракт
control measure	меры контроля
controlled burning	огневая культивация
controlled hunting zone	регионы разрешенной охоты
controlling authority	контролирующие полномочия
conurbation	большой город с пригородами
convention	конвенция
conventional energy	традиционный источник энергии
cooling	охлаждение
cooling oil	охлаждающее масло
cooling tower	охлаждающая башня
cooling water	охлаждающая вода
copper	медь
coppice	подлесок
coppice with standards	выращивание подлеска
coral	коралл
coral reef	коралловый риф
coral reef lagoon	лагуна кораллового рифа
core meltdown	плавление стержня (атомн. энерг.) ; плавление стержня
cork	пробка
corridor	коридор
corrosion	коррозия
corrosion inhibitor	ингибитор коррозии
cosmetic industry	производство косметики
cosmic radiation	космическое излучение
cosmology	kосмология
cost	стоимость
cost increase	увеличение расходов
cost reduction	снижение расходов
cost-benefit	"затраты-выгоды"
cost-benefit analysis	анализ эффективности
cotton	хлопок
country ; nation ; state	государство
country lodge	дом в сельской местности, хутор
county	графство
court	суд
court of justice	суд
cove	пещера
covering ; roofing	покрытие
cow	корова
craft ; arts and crafts	ремесло
credit	кредит
credit assistance	кредитная помощь
credit policy	кредитная политика
creek	небольшой залив
crime	преступление
criminal law	уголовное право
criminal law procedure	процедура уголовного права
criminal liability	уголовная ответственность
criminality	преступление
crisis management	кризисное управление
critical level	критический уровень
critical load	критическая нагрузка
crocodile	крокодил
crop production	производство зерновых культур
crop protection	защита посевов
crop rotation	ротация сельскохозяйственных культур
crop treatment	обработка сельскохозяйственных культур химикатами
crossing place	дорожный переход
crossing place for animals	места для перехода животных
crossword	кроссворд
crucifix	распятие
crude oil	сырая нефть
cruising	круизы и морские путешествия
crustacean	ракообразные
cryptogam	споровые
crystallisation	кристаллизация
crystallography	кристаллография
cucumber	огурец
cultivated plant	культивируемое растение
cultivation ; tillage	культивация
cultivation method	метод культивации
cultivation of agricultural land	возделывание сельскохозяйственных земель
cultivation system	система культивации
cultural development	культурное развитие
cultural facility	учреждение культуры
cultural heritage	культурное наследие
cultural indicator	"культурный" показатель
cultural policy	политика в области культуры
culture	культура
curium	кюрий
currency	валюта
curriculum	кадровая анкета
customs	таможенные сборы
customs regulation	таможенный нормативный документ
customs tariff	таможенный тариф
cutting	рубка
cutting ; cutting (vegetative propagation)	черенок
cyanate	цианат
cyanide	цианид
cycle path	велосипедная дорожка
cyclone	циклон
cytology	цитология
cytotoxicity	цитотоксичность
dairy farm	молочная ферма
dairy industry	молочная промышленность
dairy product	молочный продукт
dam	дамба
dam draining	спуск водохранилища
damage	ущерб
damage assessment	оценка ущерба
